Name,Title,Reviews,Rating,Date of Experience
sharon dennis,The hotel was fantastic,"The hotel was fantastic, everyone very friendly and polite. Transport was cheap and easy to get around. Had a fabulous holiday, would recommend this place.",Rated 5 out of 5 stars,01 September 2022
MSE,The Kemer Antalya destination in Turkey…,"The Kemer Antalya destination in Turkey is not for brits. The hotel door could not be lock, had to pay additional fee for a safe, the light at the entrance inside our room was not working, bit hanging off the bed with sharp pins, the shower screen leaking on the floor next to the cubicle. Some of the hotel staff were rude. The foods were adapted for russians. The bales of sheets for the next day room service are left by our room entrance. To get to our room, we had to go pass a trolley of dirty glasses/plates. We were 3 and some days there were only 2 towels. The soap dispenser did not work in the shower. There's one day where we had to go asking for toilet paper as they did not leave any spare roll. In the restaurant, there were no flies control. The people dishing out dirty plates used the same gloves to put clean plates/forks/knives on the table. Some of the barman, as if we were disturbing them when asking for drinks which was an all inclusive. I would say that the russians were getting a better service than us. Simple example is the cocktail that we were served were just pour in a glass compare to the nicely made for the russians. Flying back my son who is 14, was given a seat 13 rows behind me & my wife in between strangers and that was with British Airways all book at the time on booking.com",Rated 1 out of 5 stars,17 August 2022
SJ,Lower price than competitors,Booking was smooth. The price was very competitive for the same hotel compared with other companies I usually use.,Rated 5 out of 5 stars,18 July 2022
shahzad moslem,They stole my money,"They stole my money , no refund,  no change of date as they asked me triple amount of my actual ticket cost,  no change of passenger name . I am so disconnected. Because of visa issue I had to cancel my flight or postponed I did contact them within 48 hours of booking but they didn't do anything no Options were available.  So I am going to loose £800 . For not being able to fly because of my visa appointment.",Rated 1 out of 5 stars,11 September 2022
Hayley Hilton,If I could give less stars I would,If I could give less stars I would. Due to train strikes we cancelled our trip. We spoke with our hotel directly confirming that we would be issued a full refund as we gave enough notice. They sent the refund to lastminute.com. we were fully aware that there would be a £70 cancellation fee from them but they decided to take £197.26. We have had a case open for this since mid June without any real answers other than 'please be assured we are looking into this'. Surely if I can speak to the hotel so can they. We also queried the Eurostar tickets which are non refundable. We gave dates we would like to transfer to and yet 3 months down the line we still have had no confirmation that these dates are OK and therefore can not book our accommodation etc. Annoyed doesn't even come close to how we feel but with our money and our tickets being held at ransom what else can we do?!,Rated 1 out of 5 stars,19 June 2022
Paul Drew,NEVER BUY THEIR FLIGHT PROTECTION,"Please do avoid this company. Bought flights with exceptionally short notice (6 hours) paid 10 pound per person for their flight protection where you get 90 percent back as a voucher. My passport was stolen, so I could not board my flight - once I could access my emails I contacted last minute 8pm on the day I was due to fly and they have refused to cover the 90 percent as apparently you cannot claim against this product if you submit the claim after the flight departs! So essentially you have to contact them while your plane is still on the runway or your screwed! So they’ve made 40 pounds on top. Absolutely disgusting AVOID. Don’t give companies like this business, book your flights direct with the companies so these places can quite deservedly go out of business.",Rated 1 out of 5 stars,10 September 2022
Mr Spencer,Everything ran smoothly with no issues,Everything ran smoothly with no issues. First time user and would not hesitate to use again.,Rated 5 out of 5 stars,13 August 2022
P R-L,"Even if I have a gun in my head, never ever would I book from this terrible website again.","Even if I have a gun in my head, never ever would I book from this terrible website again. Brent Hoberman would be ashamed of what has become of this website.I only tried this website for the first time and God what a garbage awful experience this has been.Booked 2 stays in Turkey:- the first hotel said they do not usually receive any payment from Booking.com, and yet this one garbage website charges me money anyway. I needed to cover the booking on site. Imagine if someone did not have their credit card with them?- the second hotel said the provider kept the reservation open anyway DESPITE them knowing there is no room free. I came all the way to the hotel only to be notified of this. Are you effing kidding me, man?Again, please stay away from this website. I would rather camp in a jungle with malaria than use this god awful website.",Rated 1 out of 5 stars,11 September 2022
Leonard,Trip to portugal,Great service,Rated 5 out of 5 stars,01 August 2022
Valentin,Voucher did not work,"Voucher did not work, paid over £400, and now i can’t get a refund , not to say that i end up purchasing the tickets with my credit card , the only place where i used my credit card details.2 days after my card was used for some amazon purchases while i’m away in holiday. Never again using they re website is so insecure.",Rated 1 out of 5 stars,04 September 2022
Mark Morley,"Threw all the COVID ,last-minute have…","Threw all the COVID ,last-minute have been brilliant with us and been a pleasure to rebook",Rated 5 out of 5 stars,11 September 2022
Dr. Sartorial ,Delayed flight,"Delayed flight, ultra expensive water, no internet",Rated 3 out of 5 stars,04 September 2022
Tarunkumar,Amazing flight,All staff was nice and very helpful,Rated 5 out of 5 stars,04 September 2022
Deborah G,Booked via Last minute for a weekend…,Booked via Last minute for a weekend break to Dublin. Everything was straight forward down to checking in and arriving at the hotel,Rated 5 out of 5 stars,02 September 2022
oby,All my needs were met accordingly.,n/a,Rated 5 out of 5 stars,27 August 2022
Tsvetana,Was very good,n/a,Rated 5 out of 5 stars,10 September 2022
Abhirup Biswas,Horrendous,"Horrendous, Horrible to say the least. Don't even think about availing lastminute.com. We booked 3 hotel rooms in ibis Glasgow through last minute.com, 3 weeks before check in. Now when we were on holiday already, a day before check in, we recieve email from lastminute saying the booking is cancelled as hotel did not accept it. All this happened just a day before check in, where we booked 3 weeks before. Question is why did they not inform earlier? This caused a lot of inconvenience as there were elderly people and children in our group causing panic attack amongst elders.We are going to take legal action and see that no one else faces this situation.",Rated 1 out of 5 stars,26 August 2022
Pabloeliecer,Happy recommended last minute.com,n/a,Rated 5 out of 5 stars,02 September 2022
Dawn,"Cheap Ticket, Expensive Baggage Fees.",I guess it’s a cheap ticket so it didn’t include baggage. I ended up paying $237 in baggage fees to check 2 pieces at the airport. I was not happy.,Rated 3 out of 5 stars,03 September 2022
Muhammadsuffian,quick and very reliable,I booked last minute flight it was an effortless and convenient fully trusted website.,Rated 5 out of 5 stars,27 August 2022
Julie-Anne Westlake,I am awaiting a reply to an email I’ve…,I am awaiting a reply to an email I’ve sent with a complaint! Disgusting customer service and discrimination to my children with disabilities. Absolutely disgraceful,Rated 1 out of 5 stars,31 August 2022
Mohan Kammili,Excellent service,Excellent service. No back and forth calls and emails with travel agents.,Rated 5 out of 5 stars,03 September 2022
Amis Sahni,Be warned of connecting flights,"We recently purchased a ticket with a connecting flight. The ticket was considerably cheaper than the same flight directly from the operator, so we decided to opt for the inconvenience of having to change flights. The time between connecting flights was just over an hour and we thought that would be OK, but what we were not made aware of was that we had paid for two separate tickets, and that with the gates closing 1 hour before a flight departure, there was no way we would be able to board the second plane. The reason: because each flight was booked with a separate ticket, we would have to collect the baggage from one flight and go through security and checkin all over again for the second flight. We thought the baggage would automatically be transferred to the second flight and all we would have to do is make our way the the other gate.Lastminute should not even be selling tickets where there is absolutely no way that a passenger is going to make the connecting flight.We only discovered this by accident when my wife called the airline for a completely unrelated enquiry. Nowhere did Lastminute make any of this clear on the webpage. This is the first and LAST time we will be using Lastminute. My advise to anyone using this site is to make sure that if you have a connecting flight, is the ticket you have purchased a single ticket? If it is not you have to collect your baggage and go through checkin again.",Rated 1 out of 5 stars,03 September 2022
Anon,Easy to book and was able to enjoy a…,Easy to book and was able to enjoy a worry-free journey from start to finish.,Rated 5 out of 5 stars,02 September 2022
SEYED ABBAS HASHEMI,Great service,Great service. Thank you,Rated 4 out of 5 stars,03 September 2022
Karen,Great experience all round.,n/a,Rated 5 out of 5 stars,03 September 2022
Valeriu,Air tickets with Wizzair,We booked tickets to Tenerife with Wizzair via Lastminute.com as the tickets were slightly cheaper than on Wizzair website. No problems whatsoever.,Rated 5 out of 5 stars,12 August 2022
SD,"Flight times completely wrong, customer service not responsive","Me and a friend both booked flights through lastminute.com, separately. We thought we booked the same flight (evening hours), because the flight number matched, but found the flight times differed slightly. We then looked up the flight on the airline's website directly, where it said completely different flight times (early morning). Their customer service was unreachable by phone, so we tried the chat. The first go-around, it does not even give you the option ""Other"", so you have to do the whole automated chatbot experience twice. They tell you they try to get back to you asap, but refuse to give any kind of term. Two weeks later, I get back in touch because I've not heard anything, and they lie. They tell me that the airline changed the flight schedule, and to my friend in a separate chat, that there's an error in lastminute.com's booking system. They send me the ""new"" flight times, of which I had informed them two weeks earlier. So basically repeating my problem back to me. Even had the airline been the one to change the flights, they neglected to inform me. Only then do they ask me if I would like a refund, or alternatives. I asked for them to search for alternative flights, and they would try to take max 7 days again to get back to me. It's less than a month away. After some consideration, I try to ask for a full refund through chat, and they say as there is already a request in queue for the flight change, I have to email them. And through email, I get the fun automated response ""We're working on your request and will get back to you with a response as soon as we can. We'll prioritise your booking if you're due to leave in the next few days."" So I can't even book alternative flights myself while ensured I get a full refund back.Fun extra: they tell me I can track my requests through the online environment, and give me detailed instructions of where I'm supposed to find this ""My requests"" section. It doesn't exist. They ask me to mail customer care yet again with screenshots.",Rated 1 out of 5 stars,10 September 2022
Dr Williams,Most frustrating refund experience I’ve ever had,"Booked a package deal to Geneva in October, with the website clearly stating that we could cancel the hotel up to 24h before our departure date. We sadly received news of a family member’s ill health, so decided to cancel with over 30 days to go to our holiday. Called customer service to ask how much we would receive as a refund, as we were not given a breakdown of the total package price, so we were unsure of how much the hotel, flights and transfers were all individually priced. I was told that my time for cancellation had “expired”, and that I was entitled to zero refund. I asked the call operator to kindly check again, as it clearly still stated on the live site that we could cancel up to 24h before. He kept talking over me, saying that our time for cancellation had expired, and that we would forfeit 100% (over £3000). I contacted the customer care team via email with a screenshot, of the still active offer on their website. Reply back said that the “proof” that I had sent “was not valid as it did not display the hotel name”! I replied to say that this was clearly from their own website, and replied with a link to the exact page, plus an extended screenshot illustrating the hotel name. Was then passed to the Escalation Team, who replied saying that there had been a “bug”, and that we were indeed entitled to a refund.I replied asking how much. Reply came to say that flights would not be included. I replied to say that I accept this, but how much would our refund be? Reply came to say that I would need to speak to Customer Care. Phone call to Customer Care, who, once again, said that I was not entitled to a refund. I explained re the Escalation Team. They said that they would need to speak to them directly. I was placed on hold. They came back to me to say that I was entitled to a refund. I asked how much. They said that they couldn’t tell me this, as it “can only be calculated by the Finance Team once the cancellation has been requested”. I said that this was ridiculous, as we wouldn’t know how much we would lose until it had been cancelled. I was advised that this “is always how it works”, and that “anyone else in the department will tell you the same”. Exhausted, I requested the refund. Email came to offer me 3 options: 1. Our holiday price in full, plus an additional £315 if we choose to take Travel Credit towards another holiday. 2. Our holiday price in full if we choose a Travel Voucher, which can be passed to someone else. 3. Our holiday money, minus flights, plus an “administration fee” of £69.99 if we choose to have a refund. I requested the latter and will never, ever book with them again.",Rated 1 out of 5 stars,10 September 2022
Daniel Rua Estrada,It was alright,Alright i guess,Rated 3 out of 5 stars,27 August 2022
AJ,Up selling not being able to check in…,Up selling not being able to check in until 20 hrs before flight therefore not getting boarding passes until then.,Rated 1 out of 5 stars,25 August 2022
Andrea Clatworthy,A real last minute booking,"A real last minute booking, booked enroute to the airport. All very positive and easy, thank you",Rated 5 out of 5 stars,01 September 2022
Tejal Patel,Please read their Terms Conditions…,"Please read their Terms Conditions before you make any bookings with them. Horrible services, have overcharged me just for amending person's details at very initial stage. We had recent experience with them, will NEVER EVER use them again.",Rated 1 out of 5 stars,24 August 2022
Mr Daniel  cox,Booking was easy,Booking was easy. flights were delayed which is not down to last minute .however hotel was definitely not all inclusive more full board which was a bit of a disappointment if I am honest food was same every day no snacks on offer no juice for the kids or I've creams ect only food 3 times a day in 1.1/2 hours bar kept running put of beer and had activitys at set times so could not use any equipment out side of these activity times,Rated 3 out of 5 stars,01 September 2022
Edward Broderick,Shocking customer service!!,I booked a trip to Venice recently and the flights were booked with ease probably due to it being with a 3rd party website. However when I went to book the hotel the payment had an error and my money was taken but no hotel booking made.I got straight on the phone to last minute and they informed me there was nothing they could do and I would have to email customer care to sort the issue out. This left me with no choice but to try booking the hotel again as I was travelling in 2 days and this time the payment went through. I had used a £30 off voucher on the first booking leaving me paying an extra £30 on the second booking. I emailed customer care as suggested and they sent a generic response back saying they would prioritise bookings close to the time of travel. I eventually got a response while I was away and money refunded but it was really too little too late. I won’t be using last minute again for this reason and the fact that the customer service representative was so rude and unhelpful has put me off even more. I am now £30 out of pocket and the stress is caused so close to the booking was really not helpful. You should be called last minute for a reason but had I not acted In the way I did I would have been left without anywhere to stay.,Rated 1 out of 5 stars,26 August 2022
Paulina,Pretty cheap tickets,"All great, I'd highly recommend!",Rated 5 out of 5 stars,02 September 2022
LP,Cancelled trip with no warning - AVOID!!,Cancelled trip with no warning. Messed me about big time. Absolute shambles. Would not recommend. Customer service team were totally useless and couldn’t care less. AVOID!!!,Rated 1 out of 5 stars,30 August 2022
Fathima ,Stay away from lastminute.com,"Never ever book a ticket with them ! They are the worst agents and customer service is diabolical ! I booked a ticket - to be adviced there is no luggage tried to buy luggage they couldn’t do this then tried to upgrade , they couldn’t do this either !  So now I have to turn up at the airport with luggage not knowing weather it will be accepted or I will be charged an arm and a leg !! I don’t understand how they are allowed con people this way",Rated 1 out of 5 stars,09 September 2022
GRhind,Very bad service,Very bad service. Luftansa cancelled my flights during a strike and I was immediately eligible for a refund but because I book the flights through lastminute.com they simply denied all knowledge of the cancellation and refused to give me a refund. Absolute b*#tards,Rated 1 out of 5 stars,01 September 2022
Salma,I wished if you provide a hotel for…,"I wished if you provide a hotel for long transfer,I waited 8n Bahrain's airport to Riyadh 10 hours in the airport",Rated 5 out of 5 stars,19 August 2022
Leonie,Conned,"Booked a weekend away using a voucher. Had to cancel due to a bereavement, but cancelled within the given time frame. Had to wait 3 months for a refund and was £20 short. Had an email confirming if there is any further refunds due they will let me know! Why? Just refund what I was originally owed. Disgusting service.",Rated 1 out of 5 stars,08 September 2022
Rebecca Waugh,Don't use them.,Don't use them. Shockingly bad customer service. Very difficult to get a hold of if there are any issues (which there will be) and when you do finally they refuse to help you. Have been forced to pay 90 euros in in person check in fees (what on earth about checking in in person costs 90 euros escapes me) because lastminute.com provided me the incorrect booking reference number to check in online and then refused to provide me the correct one saying to contact the airline. Impossible to get through to the airline they chose as well - who are equally terrible and I would not use again either (and wouldn't have flown with anyway!!). Refuse to reimburse me for this which I cannot understand as they provided me the wrong information.,Rated 1 out of 5 stars,07 September 2022
Alana H,NEVER USE THIS WEBSITE,"NEVER USE THIS WEBSITE! I WISH I LOOKED AT THE REVIEWS FIRST. Customer service is TERRIBLE. They OVERCHARGED me for my flight by 80 euros. The website told me the FINAL/ TOTAL price, I put my credit card information in, they confirmed purchase then an email was sent to me with the DIFFERENT price that included an EXTRA 80 EUROS. So of course I contacted them, and they told me is was an administrative fee. But the Total Price was supposed to include ALL FEES, RATES AND TAXES. In the end they didn't give me the extra money back.  Their website also indicates that checked baggage can be added from 0-20 euros which is also FALSE. They are now trying to charge me 70 euros for my baggage.",Rated 1 out of 5 stars,08 September 2022
Philomena French,It was great Knock is a lovely little…,It was great Knock is a lovely little Airport so simple quick & easy to get through I will definitely go there again,Rated 5 out of 5 stars,29 August 2022
alem panahi,Scammers,"Absolutely disgustingMe and my wife booked a flight from Tehran to London 08/09/2022 we decided to buy 10kg extra luggage three days before this date we paid for it and received an acknowledgement email to confirm that and they took the money for that service we were told that an invoice will be sent shortly after but unfortunately we never received any response on the they of our flight we assumed that we have 10kg extra luggage and we were there up on our arrival on the counter they said that I didn't buy 10kg extra luggage I showed them a picture confirming that and we started to argue and wasted over an hour by the time I managed get everything going unfortunately I was too late and they closed the gate and they are refusing to accept any wrong doing my tickets price are total	£ 1,845.13 plus £103.24",Rated 1 out of 5 stars,08 September 2022
James Steer,After paying a fortune for 2 return…,"After paying a fortune for 2 return tickets from Majorca to Birmingham,there was no plane for us,had to wait for a flight to come from Paris and we had no notification of the incident until half hour after we should have taken off.very tiring evening after travelling for a funeral.Very dissatisfied.",Rated 2 out of 5 stars,01 September 2022
Rendall,Appalling. No refund for holiday cancelled by company.,"Booked Prague for 13 Sep. Flights amended by Ryanair from Bristol to Heathrow (inconvenient, but accepted) now cancelled. Happy to book another airline but hotel now won't honour booking or refund us. No help from Lastminute, who had arranged the holiday.Update April 2023 - I had an email from Trustpilot saying that Lastminute.com had contacted them about this poor review. I was hoping that this would mean that we would get our refund at last, but no not a word from them.  Disgraceful.",Rated 1 out of 5 stars,08 September 2022
Charmaine,Superb!!!,Superb!!!! And recommendable,Rated 5 out of 5 stars,29 August 2022
Lee Shrubba,Flights to Brisbane using Singapore Airlines,"From start to finish,good value, great service ,kept up to date with all information/requirements,would definitely recommend and use again, thanks",Rated 5 out of 5 stars,10 August 2022
debbie wilson,Had a slightly complicated booking…,Had a slightly complicated booking where one of the party was joining later in NYC so thought that it would be better to book via phone. BIG mistake. They just fob you off with platitudes and say that they have arranged everything but they have not. You have to do it yourself anyway. I am now having to call the hotel to sort out the details. I am not confident that they have any knowledge of the booking system at all. An agent also booked one of us on a return flight and said that it would be ok to just use the return part of the tick. NO YOU CAN'T. Rubbish service.,Rated 1 out of 5 stars,08 September 2022
Stephen Lamb,I'm not really sure what has happened…,"I'm not really sure what has happened to lastminute.com.We booked our ryanair flights via lastminute.com due to the price offered. I'm giving 2 stars because the flights did at least run great (thanks to ryan air), but lastminute.com really are shambles now.After booking, about 6 weeks before our flights, we received an email from lastminute saying that the return flight had changed to an evening flight from a morning flight.Luckily no transfers had been booked so whilst it was an inconvenience I thought it wasn't the end of the world. However, as the date got closer I randomly decided to check with ryan air and couldn't see any evidence of an evening flight. What also didn't make sense is on my lastminute account the flight duration was completely inaccurate.I used my booking reference to create a ryan air account to find out that my original flights were indeed still going ahead as per the normal time. I rang lastminute several times to ask them to confirm what was going on, only to be told ""We have excalated your query higher up and someone will contact you back"". I said I need to urgently book my transfers and told them to even check using the ryan air booking reference to see that their own systems were incorrect.Eventually I gave up after calling them about 6 times to never get an answer or reply. I will never go near this company again in my life as if I trusted lastminute's system, I potentially would have missed my flight return.",Rated 2 out of 5 stars,23 August 2022
Amy Milton,I managed to find a good deal and book…,"I managed to find a good deal and book a 3 night away stay, would definitely use the website again to find and book a trip away.",Rated 5 out of 5 stars,29 August 2022
Mustafa Ahmed,Awful service,Hotel rooms not as described. Transfer service took 2.5hrs for a 1hr trip van kept breaking down. Return transfer turned up late after I made multiple calls to the provider. Resort not 5 Star as advertised. Reception staff at hotel rude and arrogant. Water sports services looking to just rip you off. Won’t be booking this again!,Rated 2 out of 5 stars,28 August 2022
Gemma Johnson,Travel with whizz wasn't great but…,Travel with whizz wasn't great but finding deal with last minute was easy and straightforward- great website.,Rated 5 out of 5 stars,01 September 2022
Sharon,Hi i was told by yourselves that my…,Hi i was told by yourselves that my accomadation would cost 260.00 Euro and i booked through website  but the hotel took 310.00 Euro. I was pretty disgusted.,Rated 2 out of 5 stars,07 September 2022
MISS A MELVIN,Dreadful customer service,I booked a holiday recently. Got a message on 28 August..a few days after I had booked..to say that the appt we booked was no longer available I asked on the same day where we were going to be staying. As of today. 7 September we still don’t know and we go on holiday on 22nd September. No empathy from the PERSON I spoke to on the phone. Very stressful. Stupidly I thought it would be safer to book through a travel company. I have always booked my holidays myself…really really wish I had done that this time. Never never again,Rated 1 out of 5 stars,07 September 2022
customer,Absolutely horrendous company to deal…,Absolutely horrendous company to deal with. Booked a trip to Barcelona did not notice until the booking was complete and an alert was sent saying the departure airport was different to the arrival airport they I had an error on the booking. Why would I want to depart from a different airport in the 1st place. The flight from Barcelona was the same time with the same airline so assumed it would not but much of an issue to change. The extra cost for the flight would have been £100. Contact customer services was told they could not do anything until the flights had been confirmed which could take 3 days. Flights are 6mths away. Ended up getting a quote for £350 to change the flights which included love holidays handling fee of £70 and airport fee £50. Cancellation on the website said you could cancel but this apparently was only for the hotel and the cancellation policy they sent me I only got once the booking was made and did not allow cancellation of flights. Absolutely disgusted,Rated 1 out of 5 stars,07 September 2022
Reza,AVOID LASTMINUTE.COM,"I booked ticket from Turkish Airline via Lastminute.com.The Turkish Airline refund me due the flight cancellation and issued a refund cheque by email and asked me to contact lastminute.com as I paid for the flight via them.I forwarded the airline email contains the refund cheque to lastminute.com BUT AFTER ABOUT  ONE MONTH I DID NOT GET MY REFUND.But the more interesting part is THEY DO NOT RESPOND TO THE EMAIL I SENT.I spoke this morning to lastminute.com customer service Daniel he said send email and when I said I sent many email but no response, HE SAID SEND EMAIL AGAIN !!! NON SENSE",Rated 1 out of 5 stars,07 September 2022
John Brooks,easy to use,Site was easy to use with plenty of info,Rated 5 out of 5 stars,07 September 2022
A.M,First time we have used your websiteto…,First time we have used your website to book our flights and the price was great than any other websites online we will use your company again very quickly and easy to use very happy thanks,Rated 5 out of 5 stars,07 September 2022
Sharon Kay,Avoid at all costs,"Misleading accommodation details on their website led me to book a room in an apartment rather than an apartment for 1 person. They would not help me at all and I felt completely unsafe as a female travelling alone, with 2 other bedrooms in the property available for anyone to use and all rooms in the property without locks.  As I felt so unsafe I left the property after 30 minutes and made alternative arrangements.  A shockingly bad experience and £400 out of pocket for alternative accommodation.",Rated 1 out of 5 stars,07 September 2022
Mick,AVOID AVOID AVOID,"Avoid these cheats at all costs. Change prices at will and the customer services are shocking. Asked for a quote to change my hotel and within 24 hours the price went up three times from £1500 to £3600. Absolute rip off. Of course it’s not them but the hotels fault, smells of a scam to me.",Rated 1 out of 5 stars,07 September 2022
Giochan Tsatsa,Complete scams,"Complete scamsTheir website changes names details automaticly, they add charges and packages without you wanting them, they charge you crazy amount of money for changes even 5 minutes after you book your tickets. They have a non refund policy and complete rip off policy!!!!!!Be careful people !!!! Stay away!!! Scams !!!",Rated 1 out of 5 stars,06 September 2022
k9jams,Don't trust the photos or description,"My booking was at a spa hotel in turkey. There was no spa in the hotel, there was no gym as advertised. The tranquil setting was in the middle of a huge complex with DJ's either side of our pool from 12 noon till 3am. There was no sea view as described. We paid for luggage on our flights and last minute booked us with 2 different carriers so only one way was booked for luggage. We were unable to get luggage added through last minute for less than £300 per person, even though we could book new flights through last minute for less money. We had to cut our holiday short by a day, and book new flights through someone else. Customer services were awful. avoid avoid avoid",Rated 1 out of 5 stars,06 September 2022
Lorraine Darcy carder,I will NEVER use this company again,"I will NEVER use this company again, and now seeing other reviews I can see I’m not alone.I booked a hotel, which stated I could cancel up to a certain date, but my confirmation said differently .  I contacted them through online chat, and was told to email proof of when I booked as they didn’t seem to believe me.  I have sent 3 emails now over a period of a week. And still they can’t be bothered to contact me. Their customer service stinks.  I am so angry with them. Waste of time and money!!",Rated 1 out of 5 stars,06 September 2022
Karen Goodlad,The best advice I would give with any…,"The best advice I would give with any on-line booking is :- think long and hard about exactly you want before you book. I unfortunately didn’t take my own advice and decided a day or so later that the dates I’d booked weren’t the best for me. So asked to change them to a few days earlier. Bear in mind I was booking for a December break in August. Lastminute.com kindly changed the flight dates to the new ones I’d ask for. This change cost me an additional £265, of course all inline with their Terms and Conditions. In truth I wished I’d just booked it all independently flight and Hotel, I’m not seeing any additional value to booking through this company, no transfers included from airport to City. Lastminute.com were extremely efficient with rapid response follow up emails to each enquiry. Next time I WIL follow my own advice.",Rated 3 out of 5 stars,31 August 2022
JC,Disgusting. Expensive mistake.,Disgusted with the way Lastminute.com have treated me. I gave them 18hrs notice to cancel a flight for a full refund. They didn't complete in time and I've now lost 100's because of it. Customer services have been awful. DO NOT BOOK FLIGHTS THROUGH THEM!,Rated 1 out of 5 stars,06 September 2022
Rhoody Brust,Seems like they are stealing money,"I had 3 vouchers from ""covid cancelled"" flights.Now that travel from ant to the Philippines is a kind of ok for foreigners, I wanted to book flights.In more than 3 weeks, I was not able to book flights with the vouchers. I always got an OOOPSIE, seems your voucher is not working this time, try again later.well, I tried later and later, and again and again, and again.Finally I could use 1 voucher on a flight, I dont even want to go... Manila Bangkok and back.Any other destination, Bali, Hamburg, Kota Kinabalu and a few others, I get the same... ooopsie, didn´t work this time.so now 2 of the vouchers are expired. It is a shame, that they simply set their software up like that, and one can do absolutely nothing about them stealing your money.Their help bot is also useless, as it is only for people with bookings, which I could not thanks to their decline,For some 900 € might be not a lot. For me it is a lot of money, they just keep in their pockets, with an ""Oopsie, it is not working this time..,.. which I call stealing money.",Rated 1 out of 5 stars,06 September 2022
Sylwia,LAST MINUTE SUCH A SCAM  ! We have purchased 6 tickets to Thailand…,"We have purchased 6 tickets to Thailand in two separate transactions last minute have just cancelled 3 tickets from one transaction and 3 other not ( reason flight cancellation) when my friend contact last minute agent he confirmed that the flight is not cancelled and is going ahead, she contacted airlines who confirmed that is cancelled! Till the end when we apply for refund they been charged us £77.00 fee when the airlines have transfer all the money to them they have took some part for themselves! I have already lost £300 pounds due this cancellation and additional they have charged me extra £77.00! Is a joke ! I will never use this agent ever again ! Cause me so much stress and I have lost so much money",Rated 1 out of 5 stars,06 September 2022
Divah,First and last time using Lastminute,Had to pay a handling for requesting a refund for a flight the airlines had already cancelled.,Rated 1 out of 5 stars,06 September 2022
Phuong ,PLEASE DO NOT USE LASTMINUTE.COM,"PLEASE DO NOT USE LASTMINUTE.COMI booked flight + hotel package from Hochiminh to Hanoi for 2 nights and they send me the booking confirmation for the whole package using 1 ID booking reference.They then told me the hotel (4* was booked by them on this booking) was cancelled and they are looking into another hotel for me.I queried with them where my new hotel would be and received no response. when i contact the online chat agent, all i get is the assurance that it is being looked into and i will hear from them in 3 days. This went on from June till August. Eventually I asked them to cancel my booking. Afterward, i received an credit note for £35.87 out of £498 that I paid stating that they only refunded the hotel cost (for 5people for 2 nights in a 4* hotel Hanoi as per the original booking) and not the flight despite the fact that the booking ID was for flights and hotels and this booking ID was what i asked to be cancelled. I tried sending emails to their customer care and received a response that ""this mail box is not monitored"". I tried contacting their agent on online chat and they closed the chat as soon as i mentioned my problem.",Rated 1 out of 5 stars,06 September 2022
RobC,A pleasant stay,"A nice hotel, decent room and facilities, with friendly and helpful staff.",Rated 5 out of 5 stars,25 August 2022
Kazanian's Emporium,Still not refunded for a booking they say wasn't paid for but which I have proven was.,"Booked a weekend trip to Venice and contacted customer service a couple of days later as I had not received an email confirmation. lastminute.com claimed the booking didn't exist and that they never charged me for it. I have spent the last 10 days sending them online statements from my credit card clearly showing the payment to them. They still have not refunded me and just repeatedly say that there was never any booking and they never charged me. I'm also trying to reverse the payment directly with my CC company because lastminute.com's customer service is useless and just robotically repeats the same lines over and over. I used the company because my brother had good experiences with them in the past but it seems as though the minute there's any kind of problem the customer is left high and dry. A shameful way for a company to operate. Use at your own risk.Updated: My CC refunded and then LM suddenly and miraculously discovered my booking (2 weeks after the holiday was supposed to happen). Apparently the email I gave them for the booking had an error in the address... therefore my CC was forced to re-pay LM 260€ of my money for a holiday they told me repeatedly didn't exist until after it had passed. At no time during my extensive requests for LM to help sort the mess out in over 10 weeks of contact with the customer service did ANYONE ask to verify an email or give even the slightest indication that this could be an issue, they simply repeated that the booking didn't exist. LM only put the effort in to solve this problem once they realised THEY would lose out on some euros. The CC refunded and within DAYS the problem had been identified, 2 weeks too late for me to take the holiday. The single worst experience I have EVER had in over 30 years of online purchasing and the worst customer service I have ever received anywhere both in person and online.",Rated 1 out of 5 stars,05 September 2022
AM,Appalling Customer Service,Used them to book 2 hotels (Vienna and Prague) and 1 flight within Europe. Had no issues with the flights and the hotel in Vienna. The hotel in Prague was advertised as a 4 Star. The hotel was in a right state and was not fit for the purpose. When I contacted customer services of Lastmiute.com and supported with pictures they responded twice not agreeing and then they stopped responding to my emails. What appalling service.,Rated 1 out of 5 stars,10 April 2022
Mr Robert Oliver.,I found that you were very helpful with…Flights etc.,"I found that you were very helpful with everything, in fact later this week I am hoping to use my air miles to upgrade my flights to encompass choice of seats & baggage allowance.",Rated 5 out of 5 stars,31 August 2022
Neliane,Easy and fast,n/a,Rated 5 out of 5 stars,28 August 2022
Suzie,Easy & simple to use website,Easy & simple to use website. Reasonable priced breaks.,Rated 5 out of 5 stars,05 September 2022
John ,Avoid this website,I booked flights using lastminute.comThe airline changed the times of the flights and lastminute.com insisted I take a refund rather than them actually having to change my booking. They refusing to issue me with a full refund and are deducting €34 as an administration fee. They have done absolutely nothing to justify this fee,Rated 1 out of 5 stars,05 September 2022
